lambda,vis_t0,vis_tmax,delta_vis
0.0,0.9057999999999999,0.6584000000000001,0.24739999999999984
0.1,0.9106,0.6501,0.26049999999999995
0.2,0.9131,0.6340999999999999,0.27900000000000014
0.3,0.9122,0.6335000000000001,0.27869999999999995
0.4,0.9149999999999998,0.6425000000000001,0.27249999999999974
0.5,0.9073,0.6395,0.26780000000000004
0.6,0.9143000000000001,0.6338999999999999,0.2804000000000002
0.7,0.9120000000000001,0.6483,0.26370000000000016
0.8,0.9148,0.6429,0.2718999999999999
0.9,0.9179999999999999,0.6405000000000001,0.27749999999999986
1.0,0.9141999999999999,0.6411999999999999,0.273
