lambda,count,mean,std,median
0.0,10,8.32827370237598,2.8886025671348734,9.142356100770279
0.1,10,9.086994729564397,0.5035110037014858,8.963156612070822
0.2,10,9.367599090024372,0.42820364054588,9.309147842485316
0.3,10,9.549775692768053,0.7443909765451611,9.41049623983315
0.4,10,8.454950891791745,3.0570511898747865,9.512243213531624
0.5,10,9.437804295065831,0.2393546374430193,9.493393357733765
0.6,10,8.493017124912994,2.9102345396323024,9.275461869511666
0.7,10,9.100528744210472,0.4991245728936833,8.969487463690733
0.8,10,8.948067114482383,0.5794612126953024,9.027232113394135
0.9,10,9.378909392233993,0.4915068793159392,9.348481706385797
1.0,10,9.281258443004173,0.7239040188368616,9.165972493170317
