lambda,count,mean,std,median
0.0,10,10.925684497941475,0.4580760054331033,10.976425882861578
0.1,10,9.662186613938434,3.412097651093909,10.433796197391482
0.2,10,10.944556801982715,0.8314934557090957,11.221684193114235
0.3,10,11.332667306207794,0.9258422667139355,11.08196046928606
0.4,10,11.269195431332234,0.3176075562992175,11.355580101431606
0.5,10,10.964212287781029,0.34948922269036525,10.938947887052443
0.6,10,9.848059844025835,3.3749356501878434,10.836434910126947
0.7,10,10.962575474480541,0.571634598872481,11.01711945415663
0.8,10,11.06017482687729,0.39282070304146594,11.040822921629317
0.9,10,10.30753213664416,3.571593001937614,11.187273457865919
1.0,10,11.183097656831345,0.726718466139422,11.180567580571974
