timestamp,backend,blind,kind,rep,delay_us,shots,counts_json,p00,p01,p10,p11,mutual_info_bits,shannon_entropy_bits,structured_dynamic_supported
1770349913,aer_simulator,A,RAMSEY_SINGLE,0,65.03449126242363,4000,"{""0"": 4000}",nan,nan,nan,nan,nan,nan,False
1770349913,aer_simulator,C,BELL_NOISE,0,200.0,4000,"{""01"": 2041, ""10"": 1959}",nan,0.51025,0.48975,nan,0.9996968324680915,0.9996968324680914,False
1770349913,aer_simulator,Z,RAMSEY_SINGLE_CAL,0,44.721359549995796,4000,"{""0"": 4000}",nan,nan,nan,nan,nan,nan,False
1770349913,aer_simulator,C,BELL_NOISE,0,65.03449126242363,4000,"{""00"": 2009, ""11"": 1991}",0.50225,nan,nan,0.49775,0.999985392663411,0.999985392663411,False
1770349913,aer_simulator,A,RAMSEY_SINGLE,0,94.57416090031758,4000,"{""0"": 4000}",nan,nan,nan,nan,nan,nan,False
1770349913,aer_simulator,B,BELL_STRUCTURED,0,30.752912203613754,4000,"{""11"": 1975, ""00"": 2025}",0.50625,nan,nan,0.49375,0.9998872865145766,0.9998872865145767,False
1770349913,aer_simulator,C,BELL_NOISE,0,114.04778933624591,4000,"{""11"": 1951, ""00"": 2049}",0.51225,nan,nan,0.48775,0.9995669678235235,0.9995669678235235,False
1770349913,aer_simulator,B,BELL_STRUCTURED,0,200.0,4000,"{""00"": 1955, ""11"": 2045}",0.48875,nan,nan,0.51125,0.9996347869992871,0.9996347869992872,False
1770349913,aer_simulator,B,BELL_STRUCTURED,0,12.059085510306963,4000,"{""11"": 1991, ""00"": 2009}",0.50225,nan,nan,0.49775,0.999985392663411,0.999985392663411,False
1770349913,aer_simulator,C,BELL_NOISE,0,165.8500554035038,4000,"{""10"": 2006, ""01"": 1994}",nan,0.4985,0.5015,nan,0.9999935078625779,0.9999935078625779,False
1770349913,aer_simulator,B,BELL_STRUCTURED,0,37.08519979543408,4000,"{""11"": 1986, ""00"": 2014}",0.5035,nan,nan,0.4965,0.9999646536828334,0.9999646536828334,False
1770349913,aer_simulator,B,BELL_STRUCTURED,0,137.53120438672642,4000,"{""11"": 2027, ""00"": 1973}",0.49325,nan,nan,0.50675,0.9998685304208407,0.9998685304208408,False
1770349913,aer_simulator,A,RAMSEY_SINGLE,0,12.059085510306963,4000,"{""0"": 4000}",nan,nan,nan,nan,nan,nan,False
1770349913,aer_simulator,C,BELL_NOISE,0,94.57416090031758,4000,"{""00"": 2060, ""11"": 1940}",0.515,nan,nan,0.485,0.9993506898146105,0.9993506898146105,False
1770349913,aer_simulator,Z,RAMSEY_SINGLE_CAL,0,78.42564912528776,4000,"{""0"": 4000}",nan,nan,nan,nan,nan,nan,False
1770349913,aer_simulator,Z,RAMSEY_SINGLE_CAL,0,17.536508262369036,4000,"{""0"": 4000}",nan,nan,nan,nan,nan,nan,False
1770349913,aer_simulator,C,BELL_NOISE,0,10.0,4000,"{""01"": 1999, ""10"": 2001}",nan,0.49975,0.50025,nan,0.9999998196631124,0.9999998196631125,False
1770349913,aer_simulator,A,RAMSEY_SINGLE,0,14.542154334489535,4000,"{""0"": 4000}",nan,nan,nan,nan,nan,nan,False
1770349913,aer_simulator,Z,T1,0,19.25353263168774,4000,"{""1"": 4000}",nan,nan,nan,nan,nan,nan,False
1770349913,aer_simulator,Z,RAMSEY_SINGLE_CAL,0,0.0,4000,"{""0"": 4000}",nan,nan,nan,nan,nan,nan,False
1770349913,aer_simulator,B,BELL_STRUCTURED,0,44.721359549995796,4000,"{""00"": 2000, ""11"": 2000}",0.5,nan,nan,0.5,1.0,1.0,False
1770349913,aer_simulator,Z,RAMSEY_SINGLE_CAL,0,65.03449126242363,4000,"{""0"": 4000}",nan,nan,nan,nan,nan,nan,False
1770349913,aer_simulator,B,BELL_STRUCTURED,0,53.929869895058225,4000,"{""00"": 2001, ""11"": 1999}",0.50025,nan,nan,0.49975,0.9999998196631124,0.9999998196631125,False
1770349913,aer_simulator,A,RAMSEY_SINGLE,0,17.536508262369036,4000,"{""0"": 4000}",nan,nan,nan,nan,nan,nan,False
1770349913,aer_simulator,Z,T1,0,24.713234586630982,4000,"{""1"": 4000}",nan,nan,nan,nan,nan,nan,False
1770349913,aer_simulator,A,RAMSEY_SINGLE,0,21.14742526881128,4000,"{""0"": 4000}",nan,nan,nan,nan,nan,nan,False
1770349913,aer_simulator,B,BELL_STRUCTURED,0,78.42564912528776,4000,"{""11"": 2009, ""00"": 1991}",0.49775,nan,nan,0.50225,0.999985392663411,0.999985392663411,False
1770349913,aer_simulator,A,RAMSEY_SINGLE,0,37.08519979543408,4000,"{""0"": 4000}",nan,nan,nan,nan,nan,nan,False
1770349913,aer_simulator,Z,RAMSEY_SINGLE_CAL,0,114.04778933624591,4000,"{""0"": 4000}",nan,nan,nan,nan,nan,nan,False
1770349913,aer_simulator,Z,RAMSEY_SINGLE_CAL,0,10.0,4000,"{""0"": 4000}",nan,nan,nan,nan,nan,nan,False
1770349913,aer_simulator,C,BELL_NOISE,0,37.08519979543408,4000,"{""10"": 2009, ""01"": 1991}",nan,0.49775,0.50225,nan,0.999985392663411,0.999985392663411,False
1770349913,aer_simulator,B,BELL_STRUCTURED,0,17.536508262369036,4000,"{""11"": 2022, ""00"": 1978}",0.4945,nan,nan,0.5055,0.9999127151897329,0.9999127151897329,False
1770349913,aer_simulator,C,BELL_NOISE,0,17.536508262369036,4000,"{""00"": 1958, ""11"": 2042}",0.4895,nan,nan,0.5105,0.9996818623579607,0.9996818623579606,False
1770349913,aer_simulator,Z,RAMSEY_SINGLE_CAL,0,165.8500554035038,4000,"{""0"": 4000}",nan,nan,nan,nan,nan,nan,False
1770349913,aer_simulator,Z,T1,0,86.10441554292844,4000,"{""1"": 4000}",nan,nan,nan,nan,nan,nan,False
