kind,blind,delay_us,lambda,classical_ref,shots,counts_json,p00,p11,p01,p10,rep
T1,Z,0.0,,,2000,"{""1"": 1963, ""0"": 37}",0.0185,0.9815,0.0,0.0,0
T1,Z,8.333333333333334,,,2000,"{""1"": 1962, ""0"": 38}",0.019,0.981,0.0,0.0,0
T1,Z,16.666666666666668,,,2000,"{""1"": 1956, ""0"": 44}",0.022,0.978,0.0,0.0,0
T1,Z,25.0,,,2000,"{""1"": 1944, ""0"": 56}",0.028,0.972,0.0,0.0,0
T1,Z,33.333333333333336,,,2000,"{""1"": 1952, ""0"": 48}",0.024,0.976,0.0,0.0,0
T1,Z,41.66666666666667,,,2000,"{""1"": 1948, ""0"": 52}",0.026,0.974,0.0,0.0,0
T1,Z,50.0,,,2000,"{""1"": 1963, ""0"": 37}",0.0185,0.9815,0.0,0.0,0
T1,Z,60.0,,,2000,"{""1"": 1958, ""0"": 42}",0.021,0.979,0.0,0.0,0
T1,Z,80.0,,,2000,"{""1"": 1954, ""0"": 46}",0.023,0.977,0.0,0.0,0
T1,Z,100.0,,,2000,"{""1"": 1950, ""0"": 50}",0.025,0.975,0.0,0.0,0
T1,Z,120.0,,,2000,"{""1"": 1955, ""0"": 45}",0.0225,0.9775,0.0,0.0,0
T1,Z,140.0,,,2000,"{""1"": 1966, ""0"": 34}",0.017,0.983,0.0,0.0,0
T1,Z,160.0,,,2000,"{""1"": 1958, ""0"": 42}",0.021,0.979,0.0,0.0,0
T1,Z,180.0,,,2000,"{""1"": 1950, ""0"": 50}",0.025,0.975,0.0,0.0,0
T1,Z,200.0,,,2000,"{""1"": 1945, ""0"": 55}",0.0275,0.9725,0.0,0.0,0
RAMSEY_SINGLE,A,0.0,,,2000,"{""0"": 1954, ""1"": 46}",0.977,0.023,0.0,0.0,0
RAMSEY_SINGLE,A,8.333333333333334,,,2000,"{""0"": 1867, ""1"": 133}",0.9335,0.0665,0.0,0.0,0
RAMSEY_SINGLE,A,16.666666666666668,,,2000,"{""0"": 1790, ""1"": 210}",0.895,0.105,0.0,0.0,0
RAMSEY_SINGLE,A,25.0,,,2000,"{""0"": 1711, ""1"": 289}",0.8555,0.1445,0.0,0.0,0
RAMSEY_SINGLE,A,33.333333333333336,,,2000,"{""0"": 1700, ""1"": 300}",0.85,0.15,0.0,0.0,0
RAMSEY_SINGLE,A,41.66666666666667,,,2000,"{""0"": 1586, ""1"": 414}",0.793,0.207,0.0,0.0,0
RAMSEY_SINGLE,A,50.0,,,2000,"{""0"": 1522, ""1"": 478}",0.761,0.239,0.0,0.0,0
RAMSEY_SINGLE,A,60.0,,,2000,"{""1"": 503, ""0"": 1497}",0.7485,0.2515,0.0,0.0,0
RAMSEY_SINGLE,A,80.0,,,2000,"{""0"": 1363, ""1"": 637}",0.6815,0.3185,0.0,0.0,0
RAMSEY_SINGLE,A,100.0,,,2000,"{""1"": 678, ""0"": 1322}",0.661,0.339,0.0,0.0,0
RAMSEY_SINGLE,A,120.0,,,2000,"{""0"": 1259, ""1"": 741}",0.6295,0.3705,0.0,0.0,0
RAMSEY_SINGLE,A,140.0,,,2000,"{""0"": 1204, ""1"": 796}",0.602,0.398,0.0,0.0,0
RAMSEY_SINGLE,A,160.0,,,2000,"{""0"": 1145, ""1"": 855}",0.5725,0.4275,0.0,0.0,0
RAMSEY_SINGLE,A,180.0,,,2000,"{""0"": 1124, ""1"": 876}",0.562,0.438,0.0,0.0,0
RAMSEY_SINGLE,A,200.0,,,2000,"{""1"": 897, ""0"": 1103}",0.5515,0.4485,0.0,0.0,0
BELL_STRUCTURED,B,0.0,,,2000,"{""11"": 856, ""00"": 818, ""01"": 158, ""10"": 168}",0.409,0.428,0.079,0.084,0
BELL_STRUCTURED,B,8.333333333333334,,,2000,"{""11"": 712, ""00"": 845, ""10"": 237, ""01"": 206}",0.4225,0.356,0.103,0.1185,0
BELL_STRUCTURED,B,16.666666666666668,,,2000,"{""11"": 606, ""01"": 257, ""10"": 245, ""00"": 892}",0.446,0.303,0.1285,0.1225,0
BELL_STRUCTURED,B,25.0,,,2000,"{""00"": 918, ""11"": 554, ""10"": 258, ""01"": 270}",0.459,0.277,0.135,0.129,0
BELL_STRUCTURED,B,33.333333333333336,,,2000,"{""11"": 466, ""00"": 912, ""10"": 283, ""01"": 339}",0.456,0.233,0.1695,0.1415,0
BELL_STRUCTURED,B,41.66666666666667,,,2000,"{""10"": 315, ""00"": 983, ""11"": 402, ""01"": 300}",0.4915,0.201,0.15,0.1575,0
BELL_STRUCTURED,B,50.0,,,2000,"{""10"": 290, ""00"": 1006, ""01"": 351, ""11"": 353}",0.503,0.1765,0.1755,0.145,0
BELL_STRUCTURED,B,60.0,,,2000,"{""00"": 1065, ""10"": 295, ""11"": 311, ""01"": 329}",0.5325,0.1555,0.1645,0.1475,0
BELL_STRUCTURED,B,80.0,,,2000,"{""00"": 1144, ""10"": 300, ""11"": 251, ""01"": 305}",0.572,0.1255,0.1525,0.15,0
BELL_STRUCTURED,B,100.0,,,2000,"{""10"": 308, ""00"": 1221, ""01"": 296, ""11"": 175}",0.6105,0.0875,0.148,0.154,0
BELL_STRUCTURED,B,120.0,,,2000,"{""00"": 1291, ""01"": 288, ""10"": 316, ""11"": 105}",0.6455,0.0525,0.144,0.158,0
BELL_STRUCTURED,B,140.0,,,2000,"{""11"": 109, ""00"": 1353, ""10"": 249, ""01"": 289}",0.6765,0.0545,0.1445,0.1245,0
BELL_STRUCTURED,B,160.0,,,2000,"{""00"": 1449, ""01"": 206, ""10"": 258, ""11"": 87}",0.7245,0.0435,0.103,0.129,0
BELL_STRUCTURED,B,180.0,,,2000,"{""00"": 1493, ""01"": 236, ""10"": 195, ""11"": 76}",0.7465,0.038,0.118,0.0975,0
BELL_STRUCTURED,B,200.0,,,2000,"{""00"": 1518, ""01"": 216, ""10"": 200, ""11"": 66}",0.759,0.033,0.108,0.1,0
BELL_NOISE,C,0.0,,,2000,"{""00"": 956, ""10"": 59, ""11"": 921, ""01"": 64}",0.478,0.4605,0.032,0.0295,0
BELL_NOISE,C,8.333333333333334,,,2000,"{""11"": 854, ""00"": 902, ""01"": 133, ""10"": 111}",0.451,0.427,0.0665,0.0555,0
BELL_NOISE,C,16.666666666666668,,,2000,"{""10"": 891, ""01"": 748, ""00"": 172, ""11"": 189}",0.086,0.0945,0.374,0.4455,0
BELL_NOISE,C,25.0,,,2000,"{""11"": 812, ""01"": 287, ""00"": 708, ""10"": 193}",0.354,0.406,0.1435,0.0965,0
BELL_NOISE,C,33.333333333333336,,,2000,"{""10"": 820, ""00"": 288, ""01"": 636, ""11"": 256}",0.144,0.128,0.318,0.41,0
BELL_NOISE,C,41.66666666666667,,,2000,"{""01"": 820, ""11"": 329, ""10"": 583, ""00"": 268}",0.134,0.1645,0.41,0.2915,0
BELL_NOISE,C,50.0,,,2000,"{""00"": 542, ""11"": 808, ""01"": 422, ""10"": 228}",0.271,0.404,0.211,0.114,0
BELL_NOISE,C,60.0,,,2000,"{""01"": 315, ""11"": 549, ""00"": 693, ""10"": 443}",0.3465,0.2745,0.1575,0.2215,0
BELL_NOISE,C,80.0,,,2000,"{""01"": 770, ""11"": 382, ""10"": 473, ""00"": 375}",0.1875,0.191,0.385,0.2365,0
BELL_NOISE,C,100.0,,,2000,"{""01"": 335, ""10"": 534, ""00"": 662, ""11"": 469}",0.331,0.2345,0.1675,0.267,0
BELL_NOISE,C,120.0,,,2000,"{""00"": 689, ""10"": 477, ""11"": 413, ""01"": 421}",0.3445,0.2065,0.2105,0.2385,0
BELL_NOISE,C,140.0,,,2000,"{""01"": 326, ""10"": 636, ""11"": 531, ""00"": 507}",0.2535,0.2655,0.163,0.318,0
BELL_NOISE,C,160.0,,,2000,"{""01"": 602, ""11"": 711, ""00"": 327, ""10"": 360}",0.1635,0.3555,0.301,0.18,0
BELL_NOISE,C,180.0,,,2000,"{""00"": 679, ""10"": 836, ""01"": 232, ""11"": 253}",0.3395,0.1265,0.116,0.418,0
BELL_NOISE,C,200.0,,,2000,"{""00"": 1039, ""11"": 152, ""01"": 626, ""10"": 183}",0.5195,0.076,0.313,0.0915,0
