kind,delay_us,rounds,branch,shots,counts_json,p00,p11,p01,p10,rep
QUANTUM_ZBASIS,60.0,5,quantum,2000,"{""00"": 1122, ""10"": 265, ""01"": 301, ""11"": 312}",0.561,0.156,0.1505,0.1325,9
QUANTUM_ZBASIS,80.0,5,quantum,2000,"{""00"": 1191, ""10"": 285, ""01"": 297, ""11"": 227}",0.5955,0.1135,0.1485,0.1425,9
QUANTUM_ZBASIS,100.0,5,quantum,2000,"{""00"": 1325, ""10"": 276, ""01"": 257, ""11"": 142}",0.6625,0.071,0.1285,0.138,9
QUANTUM_ZBASIS,120.0,5,quantum,2000,"{""10"": 232, ""00"": 1416, ""11"": 104, ""01"": 248}",0.708,0.052,0.124,0.116,9
QUANTUM_ZBASIS,140.0,5,quantum,2000,"{""11"": 87, ""10"": 241, ""00"": 1448, ""01"": 224}",0.724,0.0435,0.112,0.1205,9
QUANTUM_ZBASIS,160.0,5,quantum,2000,"{""00"": 1516, ""10"": 217, ""01"": 206, ""11"": 61}",0.758,0.0305,0.103,0.1085,9
QUANTUM_ZBASIS,180.0,5,quantum,2000,"{""00"": 1569, ""01"": 184, ""10"": 209, ""11"": 38}",0.7845,0.019,0.092,0.1045,9
QUANTUM_ZBASIS,200.0,5,quantum,2000,"{""00"": 1627, ""10"": 182, ""01"": 162, ""11"": 29}",0.8135,0.0145,0.081,0.091,9
CLASSICAL_ZBASIS,0.0,5,classical,2000,"{""00"": 1733, ""10"": 111, ""01"": 96, ""11"": 60}",0.8665,0.03,0.048,0.0555,9
CLASSICAL_ZBASIS,8.333333333333334,5,classical,2000,"{""11"": 1430, ""10"": 235, ""00"": 95, ""01"": 240}",0.0475,0.715,0.12,0.1175,9
CLASSICAL_ZBASIS,16.666666666666668,5,classical,2000,"{""10"": 294, ""01"": 309, ""11"": 1269, ""00"": 128}",0.064,0.6345,0.1545,0.147,9
CLASSICAL_ZBASIS,25.0,5,classical,2000,"{""00"": 1752, ""11"": 50, ""10"": 102, ""01"": 96}",0.876,0.025,0.048,0.051,9
CLASSICAL_ZBASIS,33.333333333333336,5,classical,2000,"{""00"": 1751, ""10"": 96, ""11"": 52, ""01"": 101}",0.8755,0.026,0.0505,0.048,9
CLASSICAL_ZBASIS,41.66666666666667,5,classical,2000,"{""11"": 776, ""01"": 482, ""00"": 295, ""10"": 447}",0.1475,0.388,0.241,0.2235,9
CLASSICAL_ZBASIS,50.0,5,classical,2000,"{""00"": 1742, ""10"": 106, ""01"": 100, ""11"": 52}",0.871,0.026,0.05,0.053,9
CLASSICAL_ZBASIS,60.0,5,classical,2000,"{""00"": 1744, ""01"": 92, ""11"": 39, ""10"": 125}",0.872,0.0195,0.046,0.0625,9
CLASSICAL_ZBASIS,80.0,5,classical,2000,"{""00"": 1774, ""01"": 99, ""10"": 97, ""11"": 30}",0.887,0.015,0.0495,0.0485,9
CLASSICAL_ZBASIS,100.0,5,classical,2000,"{""00"": 1801, ""10"": 94, ""11"": 30, ""01"": 75}",0.9005,0.015,0.0375,0.047,9
CLASSICAL_ZBASIS,120.0,5,classical,2000,"{""00"": 1811, ""10"": 98, ""11"": 15, ""01"": 76}",0.9055,0.0075,0.038,0.049,9
CLASSICAL_ZBASIS,140.0,5,classical,2000,"{""00"": 1826, ""01"": 74, ""10"": 83, ""11"": 17}",0.913,0.0085,0.037,0.0415,9
CLASSICAL_ZBASIS,160.0,5,classical,2000,"{""00"": 1830, ""10"": 74, ""11"": 19, ""01"": 77}",0.915,0.0095,0.0385,0.037,9
CLASSICAL_ZBASIS,180.0,5,classical,2000,"{""00"": 1837, ""10"": 81, ""01"": 75, ""11"": 7}",0.9185,0.0035,0.0375,0.0405,9
CLASSICAL_ZBASIS,200.0,5,classical,2000,"{""00"": 1421, ""11"": 50, ""01"": 273, ""10"": 256}",0.7105,0.025,0.1365,0.128,9
QUANTUM_XBASIS,0.0,5,quantum,2000,"{""11"": 864, ""00"": 927, ""01"": 111, ""10"": 98}",0.4635,0.432,0.0555,0.049,9
QUANTUM_XBASIS,8.333333333333334,5,quantum,2000,"{""11"": 854, ""00"": 821, ""10"": 157, ""01"": 168}",0.4105,0.427,0.084,0.0785,9
QUANTUM_XBASIS,16.666666666666668,5,quantum,2000,"{""00"": 761, ""11"": 789, ""01"": 208, ""10"": 242}",0.3805,0.3945,0.104,0.121,9
QUANTUM_XBASIS,25.0,5,quantum,2000,"{""00"": 712, ""10"": 295, ""11"": 723, ""01"": 270}",0.356,0.3615,0.135,0.1475,9
QUANTUM_XBASIS,33.333333333333336,5,quantum,2000,"{""10"": 310, ""11"": 715, ""00"": 657, ""01"": 318}",0.3285,0.3575,0.159,0.155,9
QUANTUM_XBASIS,41.66666666666667,5,quantum,2000,"{""11"": 678, ""01"": 347, ""00"": 644, ""10"": 331}",0.322,0.339,0.1735,0.1655,9
QUANTUM_XBASIS,50.0,5,quantum,2000,"{""11"": 632, ""10"": 372, ""00"": 638, ""01"": 358}",0.319,0.316,0.179,0.186,9
QUANTUM_XBASIS,60.0,5,quantum,2000,"{""11"": 595, ""00"": 623, ""01"": 368, ""10"": 414}",0.3115,0.2975,0.184,0.207,9
QUANTUM_XBASIS,80.0,5,quantum,2000,"{""00"": 549, ""01"": 455, ""11"": 550, ""10"": 446}",0.2745,0.275,0.2275,0.223,9
QUANTUM_XBASIS,100.0,5,quantum,2000,"{""01"": 462, ""00"": 562, ""10"": 470, ""11"": 506}",0.281,0.253,0.231,0.235,9
QUANTUM_XBASIS,120.0,5,quantum,2000,"{""10"": 467, ""11"": 515, ""00"": 528, ""01"": 490}",0.264,0.2575,0.245,0.2335,9
QUANTUM_XBASIS,140.0,5,quantum,2000,"{""01"": 494, ""10"": 482, ""00"": 522, ""11"": 502}",0.261,0.251,0.247,0.241,9
QUANTUM_XBASIS,160.0,5,quantum,2000,"{""01"": 514, ""10"": 490, ""00"": 491, ""11"": 505}",0.2455,0.2525,0.257,0.245,9
QUANTUM_XBASIS,180.0,5,quantum,2000,"{""01"": 458, ""11"": 515, ""00"": 529, ""10"": 498}",0.2645,0.2575,0.229,0.249,9
QUANTUM_XBASIS,200.0,5,quantum,2000,"{""10"": 492, ""11"": 475, ""01"": 484, ""00"": 549}",0.2745,0.2375,0.242,0.246,9
CLASSICAL_XBASIS,0.0,5,classical,2000,"{""10"": 487, ""00"": 495, ""11"": 517, ""01"": 501}",0.2475,0.2585,0.2505,0.2435,9
CLASSICAL_XBASIS,8.333333333333334,5,classical,2000,"{""00"": 505, ""10"": 489, ""11"": 489, ""01"": 517}",0.2525,0.2445,0.2585,0.2445,9
CLASSICAL_XBASIS,16.666666666666668,5,classical,2000,"{""01"": 515, ""00"": 497, ""10"": 509, ""11"": 479}",0.2485,0.2395,0.2575,0.2545,9
CLASSICAL_XBASIS,25.0,5,classical,2000,"{""10"": 502, ""11"": 512, ""00"": 457, ""01"": 529}",0.2285,0.256,0.2645,0.251,9
CLASSICAL_XBASIS,33.333333333333336,5,classical,2000,"{""00"": 483, ""10"": 513, ""01"": 507, ""11"": 497}",0.2415,0.2485,0.2535,0.2565,9
CLASSICAL_XBASIS,41.66666666666667,5,classical,2000,"{""10"": 476, ""11"": 486, ""01"": 511, ""00"": 527}",0.2635,0.243,0.2555,0.238,9
