lambda,count,mean,std,median
0.0,10,7.937017695480722,0.05637783033466293,7.9245596572567925
0.10000000000000002,10,30.7567137120326,0.6012004385129674,30.697911649315294
0.20000000000000004,10,0.1938371974618893,0.07770492426886695,0.221603966334727
0.29999999999999993,10,0.15068511680581032,0.13108394842608592,0.2168910515685038
0.4000000000000001,10,5.226997504486072,0.03962304225470847,5.228608390701316
0.5,10,0.093836136442333,0.10629514552747035,0.06667679073357649
0.5999999999999999,10,11.956810730408652,0.08261108918054522,11.960385285663616
0.7,10,10.162139483507627,0.11391405736546924,10.140111835212693
0.8000000000000002,10,0.05358869576533896,0.06940114705070695,0.012034926912564803
0.9000000000000001,10,581.3220635908713,613.3396370820548,560.3971222474773
1.0,10,18.047451462664974,0.5127584145471331,18.13423646762938
