lambda,count,t2_mean,t2_std,t2_median,amp_mean,amp_std,amp_median
0.0,10,10.298948396776542,1.160239575574072,10.202299940311992,0.29719025578478203,0.01524485069713155,0.29522810507476915
0.1,10,10.054228547604902,1.0344243422632438,9.917222092622376,0.29657519621085454,0.021254226095511048,0.29477046188332956
0.2,10,8.831357747213353,3.4115775486623714,9.638878218243871,0.2927916878470764,0.03167642737203458,0.2955088279868774
0.30000000000000004,10,9.536036558640344,2.3822817436890262,9.464650726904829,0.29724208323737006,0.036546010800202436,0.3011525243766534
0.4,9,8.728241319213133,4.030200590674158,9.0436975796376,0.3074996311395335,0.02727885751131415,0.30294689367097677
0.5,8,9.191165978317654,4.886794931539865,8.786824905314955,0.3108610990766255,0.03085233512786198,0.3054093481936953
0.6000000000000001,8,10.188354068837686,4.151327851679453,8.603719947235524,0.31751776265799014,0.036576856878922794,0.3079053247329824
0.7000000000000001,7,32.93283775049029,62.76260171892013,8.2618003079726,0.2502880895995085,0.19380932439860035,0.2983788001134159
0.8,6,28.47991214055215,41.316248564122546,11.807025433884696,0.2528384917644248,0.2146300685734081,0.3095642074663602
0.9,6,24.438442711506884,31.004237097938898,12.230929051838565,0.254984905570073,0.22446438839446514,0.3114902535692462
1.0,6,22.35172348109491,25.548858239470448,12.630754316083056,0.25613815002879264,0.23746912757666805,0.31373861292095395
