basis,lambda,rep,t2star_us,amplitude,n_points,fit_meta
XBASIS,0.0,0,42.53428059594952,0.7782176857999582,15,"{""a"": 0.7782176857999582, ""c"": 0.009101427838366172, ""r2"": 0.990117853409371, ""T"": 42.53428059594952}"
XBASIS,0.0,1,47.2389705045015,0.7857947417983517,15,"{""a"": 0.7857947417983517, ""c"": -0.0065437916712259405, ""r2"": 0.9957256023618223, ""T"": 47.2389705045015}"
XBASIS,0.0,2,44.37435442219365,0.7914892050181835,15,"{""a"": 0.7914892050181835, ""c"": 0.0057925578006358235, ""r2"": 0.9974220491444171, ""T"": 44.37435442219365}"
XBASIS,0.0,3,42.81736154260228,0.7809134802773685,15,"{""a"": 0.7809134802773685, ""c"": 0.0050677115061676485, ""r2"": 0.989583360229315, ""T"": 42.81736154260228}"
XBASIS,0.0,4,44.551190427998975,0.7801034184483929,15,"{""a"": 0.7801034184483929, ""c"": 0.0036912538501884242, ""r2"": 0.9932647099015879, ""T"": 44.551190427998975}"
XBASIS,0.0,5,45.502080437656886,0.7545289772060308,15,"{""a"": 0.7545289772060308, ""c"": -0.006549135683125864, ""r2"": 0.9950500828632485, ""T"": 45.502080437656886}"
XBASIS,0.0,6,43.044852648390275,0.8023537776421972,15,"{""a"": 0.8023537776421972, ""c"": 0.002563149634269561, ""r2"": 0.9936995219882141, ""T"": 43.044852648390275}"
XBASIS,0.0,7,48.238212790467024,0.7923525523306465,15,"{""a"": 0.7923525523306465, ""c"": -0.015629741503678882, ""r2"": 0.9931937838316275, ""T"": 48.238212790467024}"
XBASIS,0.0,8,46.13304353736298,0.7900139332533485,15,"{""a"": 0.7900139332533485, ""c"": -0.019136765733086165, ""r2"": 0.9917126737285299, ""T"": 46.13304353736298}"
XBASIS,0.0,9,43.68716119466427,0.8020373133851888,15,"{""a"": 0.8020373133851888, ""c"": -0.0007394682458588704, ""r2"": 0.9954694454693335, ""T"": 43.68716119466427}"
XBASIS,0.1,0,42.70467127127094,0.7026484263245759,15,"{""a"": 0.7026484263245759, ""c"": 0.005957023947179096, ""r2"": 0.9899940071927006, ""T"": 42.70467127127094}"
XBASIS,0.1,1,47.17845966826192,0.7116739070310385,15,"{""a"": 0.7116739070310385, ""c"": -0.00694424049245102, ""r2"": 0.9956136483594061, ""T"": 47.17845966826192}"
XBASIS,0.1,2,44.085307163549395,0.7103378855480361,15,"{""a"": 0.7103378855480361, ""c"": 0.007196853741422153, ""r2"": 0.9974390674738585, ""T"": 44.085307163549395}"
XBASIS,0.1,3,43.08127631041648,0.7050218814348443,15,"{""a"": 0.7050218814348443, ""c"": 0.0030544187409434, ""r2"": 0.9892012873630351, ""T"": 43.08127631041648}"
XBASIS,0.1,4,45.15997683277497,0.7014025412120891,15,"{""a"": 0.7014025412120891, ""c"": 0.0008933266989602907, ""r2"": 0.9925781847447734, ""T"": 45.15997683277497}"
XBASIS,0.1,5,45.52794865320409,0.6757805297135235,15,"{""a"": 0.6757805297135235, ""c"": -0.004495830695612704, ""r2"": 0.9951581760317633, ""T"": 45.52794865320409}"
XBASIS,0.1,6,42.70369207145193,0.7206151459124076,15,"{""a"": 0.7206151459124076, ""c"": 0.004413830472232793, ""r2"": 0.9933835092834832, ""T"": 42.70369207145193}"
XBASIS,0.1,7,48.340990552379736,0.7128098007375493,15,"{""a"": 0.7128098007375493, ""c"": -0.014785288270560932, ""r2"": 0.9935064980008317, ""T"": 48.340990552379736}"
XBASIS,0.1,8,46.0078802889986,0.7116990226884481,15,"{""a"": 0.7116990226884481, ""c"": -0.017285329166955146, ""r2"": 0.9923382442239257, ""T"": 46.0078802889986}"
XBASIS,0.1,9,43.65066895441846,0.7223672025859507,15,"{""a"": 0.7223672025859507, ""c"": -0.0017043073534012121, ""r2"": 0.995446259710822, ""T"": 43.65066895441846}"
XBASIS,0.2,0,42.91420262285132,0.6270865835405413,15,"{""a"": 0.6270865835405413, ""c"": 0.0028178271359745916, ""r2"": 0.9895070776515233, ""T"": 42.91420262285132}"
XBASIS,0.2,1,47.10329014938034,0.6375537852775774,15,"{""a"": 0.6375537852775774, ""c"": -0.007342981320488883, ""r2"": 0.9952591839773948, ""T"": 47.10329014938034}"
XBASIS,0.2,2,43.72180475237699,0.6292045250724958,15,"{""a"": 0.6292045250724958, ""c"": 0.008599584971272578, ""r2"": 0.9973293266810774, ""T"": 43.72180475237699}"
XBASIS,0.2,3,43.416624726990506,0.6291429621072889,15,"{""a"": 0.6291429621072889, ""c"": 0.0010168089427963238, ""r2"": 0.9883619931379797, ""T"": 43.416624726990506}"
XBASIS,0.2,4,45.92991985774775,0.6227761810317576,15,"{""a"": 0.6227761810317576, ""c"": -0.0019315853357227252, ""r2"": 0.991469971774106, ""T"": 45.92991985774775}"
XBASIS,0.2,5,45.56050632393083,0.5970322377486229,15,"{""a"": 0.5970322377486229, ""c"": -0.0024421584481649754, ""r2"": 0.9950780879325495, ""T"": 45.56050632393083}"
XBASIS,0.2,6,42.27293334787295,0.6389049727282039,15,"{""a"": 0.6389049727282039, ""c"": 0.006269479808911515, ""r2"": 0.9927617732753835, ""T"": 42.27293334787295}"
XBASIS,0.2,7,48.47314731505836,0.633269223420221,15,"{""a"": 0.633269223420221, ""c"": -0.013951472146199831, ""r2"": 0.9935966455022665, ""T"": 48.47314731505836}"
XBASIS,0.2,8,45.85252397971437,0.6333871014284722,15,"{""a"": 0.6333871014284722, ""c"": -0.01543636291442063, ""r2"": 0.9929691319800785, ""T"": 45.85252397971437}"
XBASIS,0.2,9,43.60441591417237,0.6426976912608539,15,"{""a"": 0.6426976912608539, ""c"": -0.0026670144232591245, ""r2"": 0.9951775175258173, ""T"": 43.60441591417237}"
XBASIS,0.30000000000000004,0,43.17810453611841,0.5515348725170209,15,"{""a"": 0.5515348725170209, ""c"": -0.0003141382857610037, ""r2"": 0.9883541419699752, ""T"": 43.17810453611841}"
XBASIS,0.30000000000000004,1,47.007405479805406,0.5634346831064129,15,"{""a"": 0.5634346831064129, ""c"": -0.007739318074619174, ""r2"": 0.9944706389085093, ""T"": 47.007405479805406}"
XBASIS,0.30000000000000004,2,43.25083731373036,0.548097488656858,15,"{""a"": 0.548097488656858, ""c"": 0.010000086739309286, ""r2"": 0.9969700928764887, ""T"": 43.25083731373036}"
XBASIS,0.30000000000000004,3,43.857001444675824,0.5532829491332134,15,"{""a"": 0.5532829491332134, ""c"": -0.0010566687549586507, ""r2"": 0.9867113997945289, ""T"": 43.857001444675824}"
XBASIS,0.30000000000000004,4,46.93416981220201,0.5442561248230964,15,"{""a"": 0.5442561248230964, ""c"": -0.004794681364423746, ""r2"": 0.9896354891754374, ""T"": 46.93416981220201}"
XBASIS,0.30000000000000004,5,45.60273241864632,0.5182841695950108,15,"{""a"": 0.5182841695950108, ""c"": -0.00038795256719757927, ""r2"": 0.9946105319242716, ""T"": 45.60273241864632}"
