label,rep,t2star_us,n_points,kind_set,lambda,fit_meta
A,0,73.76629690807046,14,RAMSEY_SINGLE,,"{""a"": 0.9909296991068696, ""c"": 0.01728850835331527, ""r2"": 0.9983814554997587}"
A,1,77.35861617198708,14,RAMSEY_SINGLE,,"{""a"": 0.9770102937810311, ""c"": 0.017589654595154318, ""r2"": 0.9962649363023749}"
A,2,81.65905739504349,14,RAMSEY_SINGLE,,"{""a"": 1.024715241133147, ""c"": -0.02041101117756003, ""r2"": 0.9982400675683505}"
A,3,76.27440316935852,14,RAMSEY_SINGLE,,"{""a"": 0.9975518037210637, ""c"": 0.00809844082279553, ""r2"": 0.9992128862834297}"
A,4,89.18856815488414,14,RAMSEY_SINGLE,,"{""a"": 1.0240436016428878, ""c"": -0.03453143469098587, ""r2"": 0.9991146792318893}"
A,5,82.21189080743555,14,RAMSEY_SINGLE,,"{""a"": 1.0161294157111265, ""c"": -0.021828554709945987, ""r2"": 0.9968968935464182}"
A,6,83.47921075962246,14,RAMSEY_SINGLE,,"{""a"": 1.0274173603897208, ""c"": -0.027444860133731715, ""r2"": 0.9983870234943627}"
A,7,83.46693541384636,14,RAMSEY_SINGLE,,"{""a"": 1.009476120099692, ""c"": -0.012538741209068194, ""r2"": 0.9994102929256701}"
A,8,80.73812268701325,14,RAMSEY_SINGLE,,"{""a"": 0.993346213099634, ""c"": 0.006702078949203292, ""r2"": 0.9994367129582179}"
A,9,77.4186162932068,14,RAMSEY_SINGLE,,"{""a"": 0.9729047884064781, ""c"": 0.024712982064044244, ""r2"": 0.9993520881109957}"
B,0,17.11380436420587,14,BELL_STRUCTURED,,"{""a"": 0.44109634002852277, ""c"": 0.578863417980859, ""r2"": 0.8421060435435821}"
B,1,17.754296160310073,14,BELL_STRUCTURED,,"{""a"": 0.4498743528482236, ""c"": 0.5672613863058737, ""r2"": 0.8665852296067657}"
B,2,18.897400289485898,14,BELL_STRUCTURED,,"{""a"": 0.45330943621174785, ""c"": 0.5623168693178472, ""r2"": 0.8676237168233076}"
B,3,17.437170503151574,14,BELL_STRUCTURED,,"{""a"": 0.4520778514548042, ""c"": 0.5667670449264259, ""r2"": 0.8246879900348918}"
