lambda,count,mean,std,median
0.0,10,8.225611036563969,2.8455601574251688,9.036764653392495
0.1,10,8.94129826911101,0.8642059876226634,9.016598203373244
0.2,10,7.9460718320657175,2.8822063985100015,8.598484867369208
0.3,10,8.782025329592486,0.8096023813981279,8.810959954162078
0.4,10,9.49552695880798,0.8514922535176594,9.493613894509764
0.5,10,8.25180543874168,2.8804952442103313,9.128943488861452
0.6,10,9.127318856191014,0.6286343080193919,9.189113527953614
0.7,10,9.464108308685665,0.5793033779318696,9.40965810771386
0.8,10,9.59358639006164,0.5806962400893031,9.522733031542284
0.9,10,9.407459758090186,0.43696051513258793,9.284407961550055
1.0,10,8.249506736221146,2.8196740897435983,9.14630585711762
