label,rep,t2star_us,n_points,kind_set,lambda,fit_meta
L01,1,11.52787444323919,14,BELL_MIXED,0.20000000000000004,"{""a"": -1.2229071377584881, ""c"": 0.07311881084246644, ""r2"": 0.4135047740998635}"
L01,2,11.42751328095729,14,BELL_MIXED,0.20000000000000004,"{""a"": -1.2306835381618326, ""c"": 0.07105679343108987, ""r2"": 0.4017748654183496}"
L01,3,11.57313764439547,14,BELL_MIXED,0.20000000000000004,"{""a"": -1.233510307332685, ""c"": 0.07666417290641395, ""r2"": 0.4097457629222231}"
L01,4,11.750159005669751,14,BELL_MIXED,0.20000000000000004,"{""a"": -1.2326134500255552, ""c"": 0.08160530852608794, ""r2"": 0.4140831167056481}"
L01,5,11.633891943286704,14,BELL_MIXED,0.20000000000000004,"{""a"": -1.2392133608609486, ""c"": 0.07935946241100675, ""r2"": 0.4134963841032264}"
L01,6,11.623275885402043,14,BELL_MIXED,0.20000000000000004,"{""a"": -1.229266707948676, ""c"": 0.07502664969939109, ""r2"": 0.4153375108085835}"
L01,7,11.536678207644293,14,BELL_MIXED,0.20000000000000004,"{""a"": -1.2247195548385001, ""c"": 0.07361778004535241, ""r2"": 0.41049435631774134}"
L01,8,11.584067081713608,14,BELL_MIXED,0.20000000000000004,"{""a"": -1.2349124489305805, ""c"": 0.0760520070676886, ""r2"": 0.4113155285030542}"
L01,9,11.678402945297838,14,BELL_MIXED,0.20000000000000004,"{""a"": -1.23904578990579, ""c"": 0.0822791182327069, ""r2"": 0.4118151147816712}"
L02,0,8.336434866559319,14,BELL_MIXED,0.7,"{""a"": 1.02677081094193, ""c"": 0.002770979912663049, ""r2"": 0.2348057268419218}"
L02,1,8.836955406769677,14,BELL_MIXED,0.7,"{""a"": 1.01325631275385, ""c"": 0.01053517700776808, ""r2"": 0.23213840676605246}"
L02,2,8.908159698051643,14,BELL_MIXED,0.7,"{""a"": 1.0334632214192832, ""c"": -0.0026844530308914524, ""r2"": 0.2338046199227385}"
L02,3,8.678974969174536,14,BELL_MIXED,0.7,"{""a"": 1.0223995561375203, ""c"": 0.008464856459894731, ""r2"": 0.23169991214398034}"
L02,4,8.684871613134437,14,BELL_MIXED,0.7,"{""a"": 1.0277606943696247, ""c"": 0.009444072201259255, ""r2"": 0.23682580975231604}"
L02,5,8.999171390193752,14,BELL_MIXED,0.7,"{""a"": 1.0250947048752426, ""c"": 0.0023159269759251513, ""r2"": 0.24064455672862495}"
L02,6,8.363632955583983,14,BELL_MIXED,0.7,"{""a"": 1.0256848805032364, ""c"": 0.010744097370327341, ""r2"": 0.23490503742989854}"
L02,7,8.814416354528426,14,BELL_MIXED,0.7,"{""a"": 1.0183550885516428, ""c"": 0.006790293527915466, ""r2"": 0.23357818340518965}"
L02,8,8.44638866076568,14,BELL_MIXED,0.7,"{""a"": 1.0210111178301788, ""c"": 0.012447201970243838, ""r2"": 0.23052226835599088}"
L02,9,8.534737821808672,14,BELL_MIXED,0.7,"{""a"": 1.024401150580832, ""c"": 0.0057582331029411024, ""r2"": 0.23167603553661287}"
L03,0,19.23942217205889,14,BELL_MIXED,0.4000000000000001,"{""a"": 1.1799456613640844, ""c"": -0.02264911064733571, ""r2"": 0.5112487260373905}"
L03,1,19.39626143948087,14,BELL_MIXED,0.4000000000000001,"{""a"": 1.170361586117872, ""c"": -0.02025209731007015, ""r2"": 0.5112133094456712}"
L03,2,19.155967432409305,14,BELL_MIXED,0.4000000000000001,"{""a"": 1.1712288226863563, ""c"": -0.02056419321151377, ""r2"": 0.5138622822396319}"
L03,3,19.252766902937935,14,BELL_MIXED,0.4000000000000001,"{""a"": 1.1728603032070068, ""c"": -0.01766682369366846, ""r2"": 0.5090730452453249}"
L03,4,19.524508370833278,14,BELL_MIXED,0.4000000000000001,"{""a"": 1.1825824087446895, ""c"": -0.02487460507218181, ""r2"": 0.518372913504177}"
L03,5,19.649301464617015,14,BELL_MIXED,0.4000000000000001,"{""a"": 1.1908814778702517, ""c"": -0.0323359904999841, ""r2"": 0.5120736842826112}"
L03,6,19.338328987683948,14,BELL_MIXED,0.4000000000000001,"{""a"": 1.1733603985100842, ""c"": -0.014589735366436169, ""r2"": 0.5149910810514406}"
L03,7,19.73297328928902,14,BELL_MIXED,0.4000000000000001,"{""a"": 1.1835053412991967, ""c"": -0.0231850503664029, ""r2"": 0.5150759318955238}"
L03,8,19.670306124774207,14,BELL_MIXED,0.4000000000000001,"{""a"": 1.1710238682976941, ""c"": -0.01896837683225276, ""r2"": 0.5192836057687253}"
L03,9,19.20676322375417,14,BELL_MIXED,0.4000000000000001,"{""a"": 1.1652128934683974, ""c"": -0.012450346027216773, ""r2"": 0.5059045395880937}"
L04,0,110.24404789164383,14,BELL_MIXED,0.10000000000000002,"{""a"": -0.16700720898260776, ""c"": 0.039991988840430245, ""r2"": 0.007567369494694609}"
L04,1,107.71103039670322,14,BELL_MIXED,0.10000000000000002,"{""a"": -0.1572557898286752, ""c"": 0.03205156739801362, ""r2"": 0.006862066917298626}"
L04,2,121.0956960630218,14,BELL_MIXED,0.10000000000000002,"{""a"": -0.16263529571387797, ""c"": 0.04296596484000218, ""r2"": 0.006724489828971669}"
L04,3,104.10809164485389,14,BELL_MIXED,0.10000000000000002,"{""a"": -0.15704369770372234, ""c"": 0.036929885315900135, ""r2"": 0.007028437478473704}"
L04,4,134.63656464690524,14,BELL_MIXED,0.10000000000000002,"{""a"": -0.21251140203554042, ""c"": 0.08430824745535757, ""r2"": 0.010475668333700616}"
L04,5,97.1228915020709,14,BELL_MIXED,0.10000000000000002,"{""a"": -0.1522007575169174, ""c"": 0.023687566899610126, ""r2"": 0.006936668373875965}"
L04,6,116.90782197397726,14,BELL_MIXED,0.10000000000000002,"{""a"": -0.15872657561003795, ""c"": 0.041977436357722886, ""r2"": 0.006572265583910442}"
L04,7,118.86725564894418,14,BELL_MIXED,0.10000000000000002,"{""a"": -0.18386552089433314, ""c"": 0.057733393769514814, ""r2"": 0.008703905747879492}"
L04,8,111.40147178644251,14,BELL_MIXED,0.10000000000000002,"{""a"": -0.16762078141132927, ""c"": 0.043735797094812845, ""r2"": 0.007630026507836285}"
L04,9,123.07791987856689,14,BELL_MIXED,0.10000000000000002,"{""a"": -0.1455232565866309, ""c"": 0.031233466764919685, ""r2"": 0.005345397704938026}"
L05,0,0.03418436808947334,14,BELL_MIXED,0.8000000000000002,"{""a"": 0.778822979610354, ""c"": 0.20754768473348528, ""r2"": 0.11183277489067367}"
L05,1,0.03330806174999523,14,BELL_MIXED,0.8000000000000002,"{""a"": 0.7808027680664104, ""c"": 0.2060487577634674, ""r2"": 0.11243861918202824}"
L05,2,5.681508179275864,14,BELL_MIXED,0.8000000000000002,"{""a"": 0.8693369970640841, ""c"": 0.1729763730218868, ""r2"": 0.1435882876602862}"
L05,3,5.5399727807589185,14,BELL_MIXED,0.8000000000000002,"{""a"": 0.8724829656341714, ""c"": 0.17089569891948905, ""r2"": 0.1451430920643243}"
L05,4,5.646612879663976,14,BELL_MIXED,0.8000000000000002,"{""a"": 0.8691359328626347, ""c"": 0.17564298856972935, ""r2"": 0.14282588669521112}"
L05,5,5.726133502060026,14,BELL_MIXED,0.8000000000000002,"{""a"": 0.8734167785774034, ""c"": 0.16725448409665186, ""r2"": 0.14365767842240318}"
L05,6,5.626732674887586,14,BELL_MIXED,0.8000000000000002,"{""a"": 0.8630775254590369, ""c"": 0.17778766089990675, ""r2"": 0.14031183221998156}"
L05,7,5.908772438217848,14,BELL_MIXED,0.8000000000000002,"{""a"": 0.8791109387046278, ""c"": 0.16348443867597628, ""r2"": 0.1459506188023204}"
