lambda,count,mean,std,median
0.0,10,23.158587282902737,0.3934483774883743,23.102219092387795
0.10000000000000002,10,114.51727914331298,10.704061884139595,114.1546468802099
0.20000000000000004,10,11.587792568309196,0.0894994418351093,11.57860236305454
0.29999999999999993,10,0.10087412609563048,0.07087942338665391,0.08446289733475068
0.4000000000000001,10,19.416659940783866,0.21265179961077937,19.36729521358241
0.5,10,9.973502302997167,0.07637740393387171,9.975953523586554
0.5999999999999999,10,16.522433561298346,0.1639928547151119,16.519488680192453
0.7,10,8.660374373657012,0.23252325507635557,8.681923291154487
0.8000000000000002,10,4.53358507657195,2.3739426012252762,5.60312983144064
0.9000000000000001,10,27.652840596566087,9.734066620874765,30.021192278051526
1.0,10,17.92005156225625,0.502869345126606,17.99714904352313
