lambda,count,mean,std,median
0.0,10,6.909065369077686,0.6970097770419595,7.0972458108842975
0.1,10,6.599589458888877,0.49248976011607365,6.812625736232962
0.2,10,6.816239146467045,0.5860273224418339,6.7618013738669625
0.3,10,6.056554959859593,2.1890901592842846,6.712162264520119
0.4,10,6.821950631579774,0.5978206073580683,6.655822720066068
0.5,10,6.7394748891705145,0.7124295005231864,6.720526857623637
0.6,10,6.046409892133726,2.1278451992274072,6.474695590047228
0.7,10,6.793735766717054,0.6509979535878887,6.491315169007091
0.8,10,6.8229597777499915,0.5823174917082093,6.890737719768815
0.9,10,6.7513621069966305,0.6935904594945927,6.91425930136983
