rounds,rep,t2star_us,amplitude,n_points,fit_meta
2,0,11.039999642997818,0.41400093890165884,15,"{""a"": 0.41400093890165884, ""c"": 0.5162358731739122, ""r2"": 0.6720876352761607, ""T"": 11.039999642997818}"
2,1,10.598228711859443,0.4064787000096594,15,"{""a"": 0.4064787000096594, ""c"": 0.5276543180641522, ""r2"": 0.691274805103711, ""T"": 10.598228711859443}"
2,2,10.912852122725338,0.4151906105803509,15,"{""a"": 0.4151906105803509, ""c"": 0.5232808226982035, ""r2"": 0.6788714403285291, ""T"": 10.912852122725338}"
2,3,11.295105491830522,0.39473682073970773,15,"{""a"": 0.39473682073970773, ""c"": 0.5247017501441117, ""r2"": 0.6487895422885394, ""T"": 11.295105491830522}"
2,4,11.360877469047882,0.41119091249192263,15,"{""a"": 0.41119091249192263, ""c"": 0.517536493973687, ""r2"": 0.6950071314983182, ""T"": 11.360877469047882}"
2,5,11.456902635065624,0.42105872323418436,15,"{""a"": 0.42105872323418436, ""c"": 0.5180390107797834, ""r2"": 0.6665912703357759, ""T"": 11.456902635065624}"
2,6,10.639777868148197,0.39695699605295237,15,"{""a"": 0.39695699605295237, ""c"": 0.520428245382209, ""r2"": 0.6842199291054687, ""T"": 10.639777868148197}"
2,7,10.001861865765438,0.39392263960532203,15,"{""a"": 0.39392263960532203, ""c"": 0.5324744135401583, ""r2"": 0.6360513212894467, ""T"": 10.001861865765438}"
2,8,11.307136811744567,0.40001735696733587,15,"{""a"": 0.40001735696733587, ""c"": 0.5279262831113043, ""r2"": 0.6907039886633293, ""T"": 11.307136811744567}"
2,9,10.644102360229926,0.42442273777072903,15,"{""a"": 0.42442273777072903, ""c"": 0.5171158815757757, ""r2"": 0.6959633462735226, ""T"": 10.644102360229926}"
5,0,8.728250331997291,0.4065038217270161,15,"{""a"": 0.4065038217270161, ""c"": 0.5030318616005016, ""r2"": 0.6725155402174259, ""T"": 8.728250331997291}"
5,1,9.94020172170657,0.4329147820351793,15,"{""a"": 0.4329147820351793, ""c"": 0.47941447699784634, ""r2"": 0.694394315611933, ""T"": 9.94020172170657}"
5,2,8.93995840066856,0.4095440431363027,15,"{""a"": 0.4095440431363027, ""c"": 0.4937961478502189, ""r2"": 0.714258206223586, ""T"": 8.93995840066856}"
5,3,9.61095224631598,0.4180249296863913,15,"{""a"": 0.4180249296863913, ""c"": 0.48478527501195345, ""r2"": 0.6688866148527995, ""T"": 9.61095224631598}"
5,4,10.13703054733234,0.452677715725527,15,"{""a"": 0.452677715725527, ""c"": 0.4808321785008634, ""r2"": 0.6678658483072776, ""T"": 10.13703054733234}"
5,5,9.108358916687152,0.4139957818822139,15,"{""a"": 0.4139957818822139, ""c"": 0.4951247907400418, ""r2"": 0.6999819517527952, ""T"": 9.108358916687152}"
5,6,9.206708421225239,0.4061881212899145,15,"{""a"": 0.4061881212899145, ""c"": 0.49683002094502654, ""r2"": 0.6693659758231656, ""T"": 9.206708421225239}"
5,7,0.27094830596593056,0.37935600896447397,15,"{""a"": 0.37935600896447397, ""c"": 0.5146439104339952, ""r2"": 0.5612123443969406, ""T"": 0.27094830596593056}"
5,8,9.176353284853406,0.4101683903624513,15,"{""a"": 0.4101683903624513, ""c"": 0.49867700351868965, ""r2"": 0.6933993311828759, ""T"": 9.176353284853406}"
5,9,8.163974847007333,0.43324601802509616,15,"{""a"": 0.43324601802509616, ""c"": 0.4896624514555772, ""r2"": 0.7059042287699793, ""T"": 8.163974847007333}"
10,0,6.476096805878327,0.468963439592927,15,"{""a"": 0.468963439592927, ""c"": 0.45301014538959006, ""r2"": 0.734682213856475, ""T"": 6.476096805878327}"
10,1,6.6467078188477045,0.4746101413597252,15,"{""a"": 0.4746101413597252, ""c"": 0.440390092595828, ""r2"": 0.7477378980957312, ""T"": 6.6467078188477045}"
10,2,7.566948310905295,0.4627077958066133,15,"{""a"": 0.4627077958066133, ""c"": 0.44486623535540865, ""r2"": 0.7247540566418094, ""T"": 7.566948310905295}"
10,3,6.575961740291533,0.4719856641143401,15,"{""a"": 0.4719856641143401, ""c"": 0.44193572939396947, ""r2"": 0.7209673850797379, ""T"": 6.575961740291533}"
10,4,6.796491587009987,0.47122938646453766,15,"{""a"": 0.47122938646453766, ""c"": 0.4368085713904014, ""r2"": 0.7723041622747815, ""T"": 6.796491587009987}"
10,5,5.711550466699245,0.4798186130517235,15,"{""a"": 0.4798186130517235, ""c"": 0.444591340399539, ""r2"": 0.7593126656000914, ""T"": 5.711550466699245}"
10,6,7.577961198123282,0.4710411514035982,15,"{""a"": 0.4710411514035982, ""c"": 0.4333967230999133, ""r2"": 0.733722735690288, ""T"": 7.577961198123282}"
10,7,6.994846797545342,0.47658430282069303,15,"{""a"": 0.47658430282069303, ""c"": 0.44183385481138926, ""r2"": 0.7374767272321182, ""T"": 6.994846797545342}"
10,8,5.668923067938229,0.45469775961629605,15,"{""a"": 0.45469775961629605, ""c"": 0.45676995188523295, ""r2"": 0.7719725037628807, ""T"": 5.668923067938229}"
10,9,6.367542205366917,0.47820884192844265,15,"{""a"": 0.47820884192844265, ""c"": 0.44651995103208164, ""r2"": 0.7882804028639762, ""T"": 6.367542205366917}"
